"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","sheet","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"193",193,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein Expression, Protein Expression","PALBOCICLIB, FULVESTRANT, TAMOXIFEN","UNK, UNK, UNK","II","Advanced, Second Line","Tumor Progression as measured by RECIST 1.1","NCT02384239","Must have received prior treatment with an mTOR or PI3K inhibitor, patients receive either fulvestrant or tamoxifen","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02384239",1,"DB09073,DB00947,DB00675","11478676, 104741, 2733526","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"194",194,"LOCALLY ADVANCED OR EARLY BREAST CANCER","ERBB2","Positive","NA","Protein Expression","ATEZOLIZUMAB, PERTUZUMAB, TRASTUZUMAB, TRASTUZUMAB EMTANSINE, DOCETAXEL, CARBOPLATIN","UNK, UNK, UNK, UNK, UNK, UNK","I","First Line, Second Line","Percentage of Participants With Dose Limiting Toxicities (DLT) - Cohort 1A, 1B, 1C, 1D, 1F, Percentage of Participants With DLT - Cohort 1E, Percentage of Participants With Adverse Events (AEs) According to National Cancer Institute Common Terminology Criteria for AEs, Version 4.0 (NCI CTCAE V4.0)","NCT02605915","Drugs tested in different combinations","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02605915",1,"DB11595,DB06366,DB00072,DB05773,DB01248,DB00958","NA, NA, 3001322, NA, 148124, 56840877","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"195",195,"LOCALLY ADVANCED OR EARLY BREAST CANCER","ERBB2","Negative","NA","Protein Expression","ATEZOLIZUMAB, DOXORUBICIN, CYCLOPHOSPHAMIDE","UNK, UNK, UNK","I","Non-Advanced, Advanced, First Line, Second Line","Percentage of Participants With Dose Limiting Toxicities (DLT) - Cohort 1A, 1B, 1C, 1D, 1F, Percentage of Participants With DLT - Cohort 1E, Percentage of Participants With Adverse Events (AEs) According to National Cancer Institute Common Terminology Criteria for AEs, Version 4.0 (NCI CTCAE V4.0)","NCT02605915","ERBB2 negative disease is only in cohort E","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02605915",1,"DB11595,DB00997,DB00531","NA, 443939, 2907","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"196",196,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein Expression, Protein Expression","ICOTINIB","UNK","II","Advanced, Second Line","Progression Free Survival","NCT02362230","must received at least two prior treatments","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02362230",1,"DB11737","44609731","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"197",197,"LOCALLY ADVANCED BREAST CANCER (IIB-IIIC)","ESR1","Positive","NA","Protein Expression","METFORMIN, TOREMIFENE, MELATONIN","UNK, UNK, UNK","II","Advanced, First Line","Response rate, Pathomorphological response","NCT02506790","studied looking at also reducing side effects, active comparator is Toremifene, drugs tested in different combinations","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02506790",1,"DB00331,DB00539,DB01065","14219, 3005573, 896","ENSG00000091831","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"198",198,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, BRCA1, BRCA2, PTEN, PALB2, CHEK2, ATM, NBN, BARD1, BRIP1, RAD50, Rad51c, Rad51d, MRE11, ATR, FANCA, FANCC, FANCD2, FANCE, FANCF, FANCG, FANCL","Negative, Negative, Negative, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive, Positive","AND, AND, AND, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR, AND/OR","Protein Expression, Protein Expression, Protein Expression, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation, Mutation","TALAZOPARIB TOSYLATE","PARP","II","Advanced, Second Line","Objective response rate (ORR)","NCT02401347","other biomarkers in the of HR related genes","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02401347",1,"NA","135565654","ENSG00000141736, ENSG00000012048, ENSG00000139618, ENSG00000171862, ENSG00000083093, ENSG00000183765, ENSG00000149311, ENSG00000104320, ENSG00000138376, ENSG00000136492, ENSG00000113522, ENSG00000108384, ENSG00000185379, ENSG00000020922, ENSG00000175054, ENSG00000187741, ENSG00000158169, ENSG00000144554, ENSG00000112039, ENSG00000183161, ENSG00000221829, ENSG00000115392","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND BRCA1 PROTEIN EXPRESSION NEGATIVE AND BRCA2 PROTEIN EXPRESSION NEGATIVE AND PTEN MUTATION POSITIVE AND/OR PALB2 MUTATION POSITIVE AND/OR CHEK2 MUTATION POSITIVE AND/OR ATM MUTATION POSITIVE AND/OR NBN MUTATION POSITIVE AND/OR BARD1 MUTATION POSITIVE AND/OR BRIP1 MUTATION POSITIVE AND/OR RAD50 MUTATION POSITIVE AND/OR RAD51C MUTATION POSITIVE AND/OR RAD51D MUTATION POSITIVE AND/OR MRE11 MUTATION POSITIVE AND/OR ATR MUTATION POSITIVE AND/OR FANCA MUTATION POSITIVE AND/OR FANCC MUTATION POSITIVE AND/OR FANCD2 MUTATION POSITIVE AND/OR FANCE MUTATION POSITIVE AND/OR FANCF MUTATION POSITIVE AND/OR FANCG MUTATION POSITIVE AND/OR FANCL MUTATION POSITIVE","pass"
"199",199,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1, PIK3CA","Negative, Positive, Positive","AND, AND","Protein Expression, Protein Expression, Mutation","TASELISIB, FULVESTRANT","UNK, UNK","III","Advanced, Second Line","Progression-Free Survival (PFS) as Assessed by Investigator Using Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1 (v1.1)","NCT02340221","Placebo Comparator: Placebo + Fulvestrant, must be post-menopausal","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT02340221",1,"DB12108,DB00947","51001932, 104741","ENSG00000141736, ENSG00000091831, ENSG00000121879","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PIK3CA MUTATION POSITIVE","pass"
"200",200,"INVASIVE BREAST CANCER (II-IIIA)","ERBB2, ESR1","Negative, Positive","AND","Protein Expression, Protein Expression","LETROZOLE, PALBOCICLIB","UNK, UNK","II","First Line","Evaluation of the number of patients with a Residual Cancer Burden (RCB) 0-I index as a measure of efficacy","NCT02400567","active comparator is Fluorouracile, Epirubicin, Cyclophosphamide, Either Luminal A AND proven nodal involvement (cytology or histology), or Luminal B through PAM50 ROR (Prosigna™) centralized evaluation, cannot have metastatic disease","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02400567",1,"DB01006,DB09073","3902, 11478676","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"201",201,"TRIPLE NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein Expression","ALBUMIN-BOUND PACLITAXEL, CARBOPLATIN","Gp60/Bcl2, DNA/Protein","III","First Line, Second Line","Pathologic complete response (PCR)","NCT04137653","Removed active comparator: Active Comparator: paclitaxel group","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04137653",1,"NA,DB00958","NA, 56840877","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","failed drug"
"202",202,"TRIPLE NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein Expression","NIVOLUMAB, IPILIMUMAB","PD1, CTLA4","II","Second Line","Disease Free Survival (DFS)","NCT03818685","Excludes metastatic TN Breast Cancer, Removed active comparator: Active Comparator: Capecitabine","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03818685",1,"DB09035,DB06186","NA, NA","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"203",203,"TRIPLE NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein Expression & amplification","IMIPRAMINE","FoxM1","I","First Line","Decrease in the proliferation rate of triple negative breast cancer","NCT03122444","Pre-surgical treatment, must be surgical candidate, reference for FoxM1: https://clincancerres.aacrjournals.org/content/22/14/3524","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03122444",1,"DB00458","8228","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","pass"
"204",204,"BREAST CANCER (STAGE II-III)","ERBB2, PGR, ESR1","Positive, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein Expression","ALBUMIN-BOUND PACLITAXEL, ANTHRACYCLINE, CYCLOPHOSPHAMIDE","Gp60/Bcl2, DNA, DNA","IV","First Line","RCB","NCT04182568","Did not include active comparator: Docetaxel","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04182568",1,"NA,NA,DB00531","NA, NA, 2907","ENSG00000141736, ENSG00000082175, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","failed drug"
"205",205,"BREAST CANCER","ERBB2, PGR, ESR1","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein Expression","PALBOCICLIB, LETROZOLE","CDK4/CDK6, aromatase","III","Advanced","Progression-Free survival","NCT04047758","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04047758",1,"DB09073,DB01006","11478676, 3902","ENSG00000141736, ENSG00000082175, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"206",206,"TRIPLE NEGATIVE BREAST CANCER (II-III)","ESR1, PGR, ERBB2","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein Expression","ALBUMIN-BOUND PACLITAXEL, CARBOPLATIN","Gp60/Bcl2, DNA/Protein","IV","First Line","Pathologic complete remission rate","NCT04136782","Removed active comparator:Drug: Epirubicin combined with docetaxel","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04136782",1,"NA,DB00958","NA, 56840877","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","failed drug"
"207",207,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein Expression & Amplification","PYROTINIB, ETOPOSIDE","ERBB2, Topoisomerase II/DNA","II","Advanced, Second Line","Objective Response Rate (ORR)","NCT03923179","Must be locally advanced/metastatic(Advanced, Second Line)","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03923179",1,"DB14993,DB00773","51039030, 36462","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"208",208,"RECURRENT BREAST CANCER","ERBB2","Negative","NA","Protein Expression","DOCETAXEL, RITONAVIR","Microtubles, UNK","II","Advanced, Second Line","The objective response rate (ORR)","NCT03890744","Drug combination (oral docetaxel and ritonavir is called ModraDoc006/r)","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03890744",1,"DB01248,DB00503","148124, 392622","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"209",209,"BREAST CANCER (I-II)","ERBB2, PGR, ESR1","Positive, Negative, Negative","AND, AND","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","DURVALUMAB, TRASTUZUMAB, PERTUZUMAB","PDL1, ERBB2, ERBB2","II","Advanced, First Line, Second Line","Pathologic complete response (pCR) rate in the breast cancer patients with ERBB2-enriched and ERBB2-amplified breast cancer","NCT03820141","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03820141",1,"DB11714,DB00072,DB06366","NA, 3001322, NA","ENSG00000141736, ENSG00000082175, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","pass"
"210",210,"BREAST CANCER (STAGE II-III)","ERBB2, PGR, ESR1","Positive, Negative, Negative","AND, AND","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","PACLITAXEL, TRASTUZUMAB, CARBOPLATIN, PERTUZUMAB","Bcl2, ERBB2, DNA/Protein, ERBB2","II","First Line","Event free survival at three years","NCT03820063","Drug combination (PTC-Ptz)","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03820063",1,"DB01229,DB00072,DB00958,DB06366","36314, 3001322, 56840877, NA","ENSG00000141736, ENSG00000082175, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","pass"
"211",211,"BREAST CANCER (I-II)","ESR1, PGR, ERBB2, Ki67","Positive, Positive, Negative, Positive","AND, AND, AND","Protein Expression, Protein expression, Protein Expression, Protein expression","ONAPRISTONE","progesterone receptor","I","First Line, Second Line","Complete Cell Cycle Arrest","NCT04142892","Women must be post-menopausal","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04142892",1,"DB12637","5311505","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000148773","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","pass"
"212",212,"METASTATIC BREAST CANCER (III-IV)","ESR1, ERBB2","Positive, Negative","AND","Protein Expression, Protein Expression","PEMBROLIZUMAB, PEGYLATED LIPOSOMAL DOXORUBICIN","PD1, Topoisomerase II/DNA","I, II","Advanced, Second Line","To establish safe dose of PLD when delivered in combination with pembrolizumab, To evaluate the Tumor Response Rate according to Response Evaluation Criteria in Solid Tumors (RECIST) after 9 weeks (3 Cycles) of treatment in patients with measurable disease","NCT03591276","Endocrine-resistant breast cancer","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03591276",1,"DB09037,NA","NA, NA","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"213",213,"BREAST CANCER","ERBB2","Positive","NA","Protein Expression & Amplification","PYROTINIB, CAPECITABINE","ERBB2, DNA/RNA/Protein Synthesis","II","Advanced, Second Line","Objective Response Rate(ORR)","NCT03923166","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03923166",1,"DB14993,DB01101","51039030, 60953","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"214",214,"LOCALLY ADVANCED OR METASTATIC LUMINAL B BREAST CANCER","ESR1, ERBB2, Ki67","Positive, Negative, Positive","AND, AND","Protein Expression, Protein expression, Protein Expression","PEMBROLIZUMAB, PACLITAXEL","PDL, Bcl2","II","Advanced, First Line","Progression-free survival, Overall Survival","NCT03841747","in patients with locally advanced or metastatic ER-positive, ERBB2-negative, Luminal B breast cancer","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03841747",1,"DB09037,DB01229","NA, 36314","ENSG00000091831, ENSG00000141736, ENSG00000148773","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","pass"
"215",215,"BREAST CANCER (I-III)","ERBB2","Positive","NA","Protein Expression &Amplification/Protein Expression","PYROTINIB, ALBUMIN-BOUND PACLITAXEL, TRASTUZUMAB, EPRIRUBICIN, CYCLOPHOSPHAMIDE","ERBB2, GP60/Bcl2, ERBB2, Topoisomerase II/DNA, DNA","II","First Line","Percentage of Participants With Total Pathologic Complete Response (tpCR)","NCT04066790","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04066790",1,"DB14993,NA,DB00072,NA,DB00531","51039030, NA, 3001322, NA, 2907","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION &AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","pass"
"216",216,"BREAST CANCER (II-III)","ERBB2","Positive","NA","Protein Expression & Amplification/Protein Expression","PEGYLATED LIPOSOMAL DOXORUBICIN, ALBUMIN-BOUND PACLITAXEL, TRASTUZUMAB","Topoisomerase II/DNA, GP60/Bcl2, ERBB2","I, II","First Line","Pathological complete response(pCR) rate","NCT03994107","the first phase aims to determine the maximum tolerated dose (MTD) of PLD, and the second phase will explore the efficacy and safety of the regimen.","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03994107",1,"NA,NA,DB00072","NA, NA, 3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","failed drug"
"217",217,"BREAST CANCER (I-III)","ERBB2, ESR1","Negative, Positive","AND","Protein Expression, Protein Expression","GDC-9545","ESR1","I","First Line","Change from Baseline in Tumor Cell Proliferation Measured by Ki67 Expression Between Pre- and Post-Treatment Tumor Biopsy Samples","NCT03916744","must be operable, postmenopausal, found GDC-9545 target at https://www.cancer.gov/publications/dictionaries/cancer-drug/def/792379, hormone receptor status needs to be known","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03916744",1,"NA","NA","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","failed drug"
"218",218,"BREAST CANCER","ERBB2","Positive","NA","Protein Expression","PYROTINIB","ERBB2","III","First Line, Second Line","Invasive Disease-free Survival (iDFS)","NCT03980054","Early stage high-risk breast cancer, first line for those who have lymph node mestastases, requires treatment with adjuvant trastuzumab","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03980054",1,"DB14993","51039030","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
